,0
0,57d7515320202d4d264c6008
1,57e9c92dd5a5fc643df1cb6a
2,57f2ffe1c418004230cdcfbc
3,57fc3b6103eeaa723aad3d2c
4,58059948dfb257962b6a9641
5,4772
6,582a6ea525eb52276c121602
7,5833a7e3ee5408145db2a2d2
8,584837837ff2631d625f4665
9,5850aca25e6e18b35cb9e731
10,57d8a59e20202d4d264c6fcf
11,57e1dba1bccfe7fd3f35898e
12,57eb1a27587e4d3059d7ef6d
13,57f45401d929ce9656fbe899
14,5806ceedfb73421643294c3a
15,581000e5c6b38c1a54857918
16,5822886b88beac327630a520
17,582bc0c042015dc17c7a27f4
18,580ee6f8606e3dc83eaa35e1
19,583429dfee5408145db2aa90
20,583ddeab149901c54ba26e2d
21,5547
22,57d8a4bd20202d4d264c6f94
23,5806c85dfb73421643294a15
24,57e1df9abccfe7fd3f358a90
25,57fec33949b1b5f05c7d6f9d
26,58100aa0c6b38c1a54857c22
27,5834fd30a91076b26d475a9f
28,57e08df5ea463e292c21ed8f
29,57d7550420202d4d264c6094
30,57e094b3ea463e292c21ee80
31,57e9c929d5a5fc643df1cb68
32,57f4561ad929ce9656fbe932
33,57fc400b03eeaa723aad3e08
34,5805a6bedfb257962b6a96e5
35,580eb6ee606e3dc83eaa3165
36,582137bc83e3e3a1630ca234
37,582a735f25eb52276c1216c3
38,5833ae07ee5408145db2a3e5
39,584622d51878679d52860a7a
40,57e0b9e2ea463e292c21f22b
41,580578f4dfb257962b6a92f0
42,580eb10d606e3dc83eaa305a
43,5821358a83e3e3a1630ca1cf
44,5833ab84ee5408145db2a372
45,5833deaaee5408145db2a9c8
46,583ce350149901c54ba26613
47,584622ab1878679d52860a75
48,584772a07ff2631d625f3b64
49,584f58c2901cee98461c5fa6
50,57d7563e20202d4d264c60c5
51,57e08d81ea463e292c21ed81
52,57e9ca48d5a5fc643df1cb8e
53,57f30430c418004230cdd04c
54,57fc3e6c03eeaa723aad3db8
55,57fc6df203eeaa723aad431e
56,5805786edfb257962b6a92df
57,580eb3e3606e3dc83eaa30cd
58,582139cd83e3e3a1630ca287
59,582aae2f25eb52276c121b6f
60,5833abe9ee5408145db2a385
61,57d755b720202d4d264c60b1
62,57e9c974d5a5fc643df1cb75
63,57f302e0c418004230cdd025
64,57fc3bff03eeaa723aad3d51
65,58057970dfb257962b6a92fe
66,5821366583e3e3a1630ca1fe
67,582a720325eb52276c121690
68,5833ab4fee5408145db2a36a
69,580eb1f2606e3dc83eaa307d
70,57e9c95ad5a5fc643df1cb70
71,5821360c83e3e3a1630ca1ea
72,57d811a820202d4d264c6661
73,57e090d7ea463e292c21edee
74,5805771fdfb257962b6a92ae
75,580eb1cd606e3dc83eaa3075
76,57fc3f2303eeaa723aad3dde
77,5833ad4cee5408145db2a3c7
78,57d8a66320202d4d264c7006
79,57e1e0fdbccfe7fd3f358b02
80,57eb1aa3587e4d3059d7ef8c
81,57f45436d929ce9656fbe8ad
82,57fd8edbd71b68574b4f5bbf
83,58100480c6b38c1a54857a2c
84,5819312b06108efa5f91ced4
85,5822844488beac327630a400
86,582bc25e42015dc17c7a286b
87,57d8a74720202d4d264c7046
88,583e399428b5c5705e91312a
89,57f30348c418004230cdd032
90,57fc3dd303eeaa723aad3da6
91,582a6e4f25eb52276c1215f8
92,5833a94fee5408145db2a311
93,57eb886a587e4d3059d7f95b
94,57f48fc7d929ce9656fbf22c
95,582bc46842015dc17c7a2921
96,5835325ba91076b26d476420
97,57e9c642d5a5fc643df1caf1
98,57f300fbc418004230cdcfe2
99,5821339683e3e3a1630ca173
100,580eb436606e3dc83eaa30de
101,57eb1caa587e4d3059d7f014
102,5822880088beac327630a507
103,583ce481149901c54ba26657
104,57d7554720202d4d264c609f
105,57ea7a12d5a5fc643df1d1f4
106,57f2ff91c418004230cdcfb4
107,57fc3c6203eeaa723aad3d60
108,580eaede606e3dc83eaa2fce
109,5833a978ee5408145db2a318
110,57e1e21dbccfe7fd3f358b53
111,57eb194c587e4d3059d7ef2a
112,57f45602d929ce9656fbe92d
113,57fd8eecd71b68574b4f5bc5
114,58109c33c6b38c1a54858605
115,582289cb88beac327630a57c
116,582bc36342015dc17c7a28cf
117,5835219da91076b26d4762d2
118,5850acec5e6e18b35cb9e745
119,57d8a35620202d4d264c6f36
120,57da137a9a39bc3252966835
121,57eb1c11587e4d3059d7efe6
122,57f458e2d929ce9656fbea02
123,5806c998fb73421643294a7d
124,5822896388beac327630a563
125,582bc3a342015dc17c7a28e6
126,57e1e0e8bccfe7fd3f358af6
127,5806c83efb73421643294a0e
128,582d14f73c34a5ff1036256e
129,57fd9304d71b68574b4f5cf1
130,5834fc2ca91076b26d475a66
