,0
0,57577da1c3cd6f0f304014b0
1,5760ad734466ed176e1ff0fd
2,5769e7e04466ed176e2032d1
3,578596089d17a86022a57fd3
4,578ed09d459bc004705d90fd
5,57980ed8852cf9e15e1c9d63
6,57aa7eeb6aeabb504bcda52d
7,5743de557ed0f25d02dd4d2c
8,57566936c3cd6f0f304009db
9,575f5d774466ed176e1fe559
10,576898684466ed176e202605
11,5784780a9d17a86022a577e0
12,5796b8ff8f810c3838bba9e7
13,5731394f0d39b85a663cde40
14,573a73a3336cf5957426d120
15,5743ad867ed0f25d02dd49e1
16,57561c70c3cd6f0f304004fe
17,575f5f314466ed176e1fe5a5
18,57689b4c4466ed176e202672
19,5771d06f4466ed176e206d77
20,578444bf9d17a86022a57356
21,578d7fd7237e3d0b44e45815
22,5796bd998f810c3838bbaa64
23,57aa7f336aeabb504bcda544
24,57b2669d3b07ebf141145e36
25,57b3bace93a0cf1e592fb274
26,573288e067d7ed1e768bff84
27,573bc19995b70eff039fd768
28,5744feee80e1f3821b7e5fe7
29,2275
30,5760ac9d4466ed176e1ff0c4
31,5769e6824466ed176e20329b
32,57731f6e4466ed176e207873
33,578596929d17a86022a57fed
34,578ed44e459bc004705d91b2
35,57980dc2852cf9e15e1c9d26
36,5744fe0a80e1f3821b7e5fcf
37,5757718fc3cd6f0f304012b8
38,5760ae5b4466ed176e1ff12e
39,577322484466ed176e2078f3
40,578ed4b3459bc004705d91d4
41,57980dc0852cf9e15e1c9d24
42,57aa83766aeabb504bcda604
43,573a727b336cf5957426d104
44,57562203c3cd6f0f30400597
45,575f5c694466ed176e1fe52b
46,576895bb4466ed176e2025a8
47,5771d00d4466ed176e206d67
48,5796bcd38f810c3838bbaa4f
49,5744febc80e1f3821b7e5fe3
50,5760acdc4466ed176e1ff0d3
51,5769ea124466ed176e20333c
52,576a1aa84466ed176e20388d
53,57a14696a1452d295068c518
54,5743acff7ed0f25d02dd49d4
55,575f5d734466ed176e1fe557
56,5768b7334466ed176e202978
57,5784457c9d17a86022a57373
58,5796c0318f810c3838bbaab1
59,5732895f67d7ed1e768bff98
60,573bc28595b70eff039fd795
61,574500c580e1f3821b7e602b
62,57577489c3cd6f0f3040133f
63,5760ad264466ed176e1ff0e0
64,2418
65,577327a94466ed176e2079c4
66,578596589d17a86022a57fdf
67,578ed311459bc004705d9177
68,57980e14852cf9e15e1c9d36
69,57b3bc5a93a0cf1e592fb2ab
70,5732886467d7ed1e768bff66
71,573bc3a395b70eff039fd7d6
72,5757758cc3cd6f0f3040136c
73,5760ad7a4466ed176e1ff105
74,5769e9474466ed176e203310
75,577475384466ed176e2085fc
76,578ed220459bc004705d9143
77,57980cee852cf9e15e1c9cfe
78,573bc78f95b70eff039fd87e
79,2162
80,5757756ec3cd6f0f3040135e
81,5773242e4466ed176e20792e
82,578598829d17a86022a58039
83,578ed454459bc004705d91b6
84,5760b0a04466ed176e1ff16a
85,5785a3de9d17a86022a581f2
86,57980bac852cf9e15e1c9cce
87,573289eb67d7ed1e768bffbc
88,5769eb6d4466ed176e203392
